238	238	NC_000009.12	N	snv	9:96023994	ERCC6L2,LOC105376159
320	320	NC_000008.11	D	snv	8:19961566	LPL
328	328	NC_000008.11	V	snv	8:19962213	LPL
333	333	NC_000003.12	N	delins	3:46373453	CCR5,CCR5AS
662	662	NC_000007.14	N	snv	7:95308134	PON1
669	669	NC_000012.12	N	snv	12:9079672	A2M,KLRG1
671	671	NC_000012.12	R	snv	12:111803962	ALDH2
686	686	NC_000005.10	N	snv	5:175441697	DRD1
688	688	NC_000019.10	Y	snv	19:11116926	LDLR
696	696	NC_000014.9	N	snv	14:35401887	NFKBIA
698	698	NC_000004.12	H	snv	4:99339632	ADH1C
699	699	NC_000001.11	N	snv	1:230710048	AGT
1205	1205	NC_000001.11	Y	snv	1:159712443	CRP
1208	1208	NC_000008.11	N	snv	8:18400806	NAT2
1695	1695	NC_000011.10	D	snv	11:67585218	GSTP1
1948	1948	NC_000015.10	D	snv	15:78625057	CHRNB4
3077	3077	NC_000006.12	N	snv	6:33065245	HLA-DPA1
3397	3397	NC_000001.11	Y	snv	1:12207235	TNFRSF1B
3594	3594	NC_000008.11	M	snv	8:30678143	GSR
3842	3842	NC_000007.14	N	snv	7:87504050	ABCB1
4073	4073	NC_000004.12	N	snv	4:73740307	CXCL8
4291	4291	NC_000017.11	H	snv	17:63476833	ACE
4292	4292	NC_000017.11	N	snv	17:63476980	ACE
4341	4341	NC_000017.11	N	snv	17:63488629	ACE
4343	4343	NC_000017.11	D	snv	17:63488670	ACE
4344	4344	NC_000017.11	V	snv	17:63489363	ACE
4359	4359	NC_000017.11	H	snv	17:63494982	ACE
4523	4523	NC_000019.10	N	snv	19:3595796	TBXA2R
4532	4532	NC_000005.10	B	snv	5:175443147	DRD1
4562	4562	NC_000017.11	D	snv	17:7260420	CLDN7,ELP5
4586	4586	NC_000017.11	H	snv	17:34256250	CCL2
4606	4606	NC_000001.11	B	snv	1:192812042	RGS2
4630	4630	NT_187633.1	R	snv	NT_187633.1:270497	GSTT1,GSTT1-AS1
4633	4633	NC_000022.11	Y	snv	22:19962712	COMT,MIR4761
4643	4643	NC_000001.11	H	snv	1:63659768	PGM1
4646	4646	NC_000015.10	V	snv	15:51210647	CYP19A1,MIR4713HG
4673	4673	NC_000016.10	N	snv	16:88646828	CYBA
4680	4680	NC_000022.11	R	snv	22:19963748	COMT,MIR4761
4762	4762	NC_000001.11	N	snv	1:230710231	AGT
4818	4818	NC_000022.11	B	snv	22:19963684	COMT,MIR4761
4880	4880	NC_000006.12	N	snv	6:159692840	SOD2
4961	4961	NC_000004.12	D	snv	4:2904980	ADD1
4994	4994	NC_000008.11	N	snv	8:37966280	ADRB3
5050	5050	NC_000001.11	B	snv	1:230714140	AGT
5051	5051	NC_000001.11	N	snv	1:230714126	AGT
5063	5063	NC_000001.11	N	snv	1:11847591	NPPA,NPPA-AS1
5065	5065	NC_000001.11	D	snv	1:11846011	NPPA,NPPA-AS1
5128	5128	NC_000011.10	V	snv	11:116832924	APOC3
5182	5182	NC_000003.12	B	snv	3:148741608	AGTR1
5186	5186	NC_000003.12	M	snv	3:148742201	AGTR1
5219	5219	NC_000011.10	N	snv	11:17388025	KCNJ11
5272	5272	NC_000001.11	H	snv	1:186674705	PTGS2
5273	5273	NC_000001.11	N	snv	1:186674636	PTGS2
5275	5275	NC_000001.11	N	snv	1:186673926	PTGS2
5326	5326	NC_000005.10	N	snv	5:175443193	DRD1
5370	5370	NC_000006.12	K	snv	6:12296022	EDN1
5441	5441	NC_000012.12	D	snv	12:6839862	GNB3,P3H3
5443	5443	NC_000012.12	B	snv	12:6845711	GNB3,CDCA3
5522	5522	NC_000004.12	N	snv	4:148436323	NR3C2
5569	5569	NC_000016.10	N	snv	16:55697923	SLC6A2
5841	5841	NC_000016.10	N	snv	16:400309	NME4,DECR2
5877	5877	NC_000001.11	H	snv	1:173909724	SERPINC1
5882	5882	NC_000016.10	V	snv	16:56982180	CETP
5888	5888	NC_000012.12	N	snv	12:124800202	SCARB1
5918	5918	NC_000017.11	Y	snv	17:47283364	ITGB3
5925	5925	NC_000019.10	Y	snv	19:11120205	LDLR
5985	5985	NC_000006.12	N	snv	6:6318562	F13A1,LOC124901253
6025	6025	NC_000001.11	N	snv	1:169549811	F5
6065	6065	NC_000017.11	B	snv	17:4933086	GP1BA
6092	6092	NC_000007.14	R	snv	7:101128436	SERPINE1
6113	6113	NC_000014.9	Y	snv	14:94587512	SERPINA5
6118	6118	NC_000014.9	B	snv	14:94587526	SERPINA5
6119	6119	NC_000014.9	R	snv	14:94587675	SERPINA5
6166	6166	NC_000002.12	N	snv	2:48962782	FSHR
6265	6265	NC_000011.10	N	snv	11:27658369	BDNF,BDNF-AS
6269	6269	NC_000022.11	D	snv	22:19962429	COMT,MIR4761
6275	6275	NC_000011.10	N	snv	11:113412755	DRD2
6277	6277	NC_000011.10	N	snv	11:113412737	DRD2
6279	6279	NC_000011.10	V	snv	11:113410351	DRD2
